Sample,Meas. No.,Cycle,Est. GMC (%),Resistivity (Ohm.m),TC Resistivity (Ohm.m),Lithology,Disturbed
HH02 - 1.05V,Drying,11,27.93%,12.88,12.52,WMF,1
HH02 - 1.05V,Drying,12,27.5%,13.13,13.05,WMF,1
HH02 - 1.05V,Drying,13,27.13%,13.78,14.11,WMF,1
HH02 - 1.05V,Drying,14,26.71%,14.2,14.34,WMF,1
HH02 - 1.05V,Drying,15,26.07%,14.63,14.77,WMF,1
HH02 - 1.05V,Drying,16,25.57%,15,14.48,WMF,1
HH02 - 1.05V,Drying,17,24.94%,14.4,13.87,WMF,1
HH02 - 1.05V,Drying,18,24.53%,14.75,14.21,WMF,1
HH02 - 1.05V,Drying,19,24.1%,15.28,14.49,WMF,1
HH02 - 1.05V,Drying,20,22.71%,18.13,18.2,WMF,1
HH02 - 1.05V,Drying,21,22.22%,18.4,17.93,WMF,1
HH02 - 1.05V,Drying,22,21.72%,19.18,18.65,WMF,1
HH02 - 1.05V,Drying,23,21.18%,20.2,19.88,WMF,1
HH02 - 1.05V,Drying,24,20.83%,20.8,20.27,WMF,1
HH02 - 1.05V,Drying,25,20.41%,21.78,21.18,WMF,1
HH02 - 1.05V,Drying,26,18.88%,31.83,31.7,WMF,1
HH02 - 1.05V,Drying,27,18.59%,31.83,31.51,WMF,1
HH02 - 1.05V,Drying,28,18.22%,40.13,41.11,WMF,1
HH02 - 1.05V,Drying,29,17.78%,46.08,47.21,WMF,1
HH02 - 1.05V,Drying,30,17.45%,54,55.33,WMF,1
HH02 - 1.05V,Drying,31,17.34%,55.25,56.61,WMF,1
HH02 - 1.05V,Drying,32,17.03%,67,68.23,WMF,1
HH02 - 1.05V,Drying,33,16.73%,76,78.03,WMF,1
HH02 - 3H,Drying,1,20.72%,6.75,6.87,WMF,0
HH02 - 3H,Drying,2,19.88%,6.98,7.05,WMF,0
HH02 - 3H,Drying,3,19.37%,6.6,6.76,WMF,0
HH02 - 3H,Drying,4,18.81%,5.93,5.87,WMF,0
HH02 - 3H,Drying,5,18.25%,6.43,6.25,WMF,0
HH02 - 3H,Drying,6,17.82%,6.3,6,WMF,0
HH02 - 3H,Drying,7,17.28%,6.3,5.99,WMF,0
HH02 - 3H,Drying,8,16.77%,6.85,6.62,WMF,0
HH02 - 3H,Drying,9,16.42%,7.03,6.82,WMF,0
HH02 - 3H,Drying,10,15.79%,7.15,6.91,WMF,0
HH02 - 3H,Drying,11,15.34%,7.35,7.15,WMF,0
HH02 - 3H,Drying,12,14.96%,7.63,7.58,WMF,0
HH02 - 3H,Drying,13,14.61%,8.18,8.38,WMF,0
HH02 - 3H,Drying,14,14.22%,8.65,8.74,WMF,0
HH02 - 3H,Drying,15,13.68%,9,9.09,WMF,0
HH02 - 3H,Drying,16,13.27%,9.7,9.36,WMF,0
HH02 - 3H,Drying,17,12.82%,9.9,9.54,WMF,0
HH02 - 3H,Drying,18,12.55%,10.35,9.97,WMF,0
HH02 - 3H,Drying,19,12.25%,10.58,10.03,WMF,0
HH02 - 3H,Drying,20,11.53%,13.5,13.55,WMF,0
HH02 - 3H,Drying,21,11.24%,13.4,13.06,WMF,0
HH02 - 3H,Drying,22,11.01%,13.5,13.13,WMF,0
HH02 - 3H,Drying,23,10.72%,14.75,14.52,WMF,0
HH02 - 3H,Drying,24,10.57%,14.93,14.55,WMF,0
HH02 - 3H,Drying,25,10.41%,15.03,14.62,WMF,0
HH02 - 3H,Drying,26,9.59%,20.3,20.22,WMF,0
HH02 - 3H,Drying,27,9.53%,19.28,19.08,WMF,0
HH02 - 3H,Drying,28,9.33%,23.05,23.62,WMF,0
HH02 - 3H,Drying,29,9.07%,25.2,25.82,WMF,0
HH02 - 3H,Drying,30,8.84%,27.9,28.59,WMF,0
HH02 - 3H,Drying,31,8.54%,31.83,32.61,WMF,0
HH02 - 3H,Drying,32,8.47%,34.28,34.9,WMF,0
HH02 - 3H,Drying,33,8.24%,39.28,40.32,WMF,0
HH02 - 3.1V,Drying,1,21.23%,25.93,26.4,WMF,0
HH02 - 3.1V,Drying,3,19.81%,26.15,26.79,WMF,0
HH02 - 3.1V,Drying,4,19.14%,25.93,25.67,WMF,0
HH02 - 3.1V,Drying,5,18.56%,25.6,24.9,WMF,0
HH02 - 3.1V,Drying,6,18.18%,25.55,24.33,WMF,0
HH02 - 3.1V,Drying,7,17.61%,26.1,24.81,WMF,0
HH02 - 3.1V,Drying,8,17.11%,28.48,27.54,WMF,0
HH02 - 3.1V,Drying,9,16.75%,28.5,27.67,WMF,0
HH02 - 3.1V,Drying,10,16.26%,29.55,28.58,WMF,0
HH02 - 3.1V,Drying,11,15.78%,30.78,29.94,WMF,0
HH02 - 3.1V,Drying,12,15.38%,32.88,32.68,WMF,0
HH02 - 3.1V,Drying,13,14.99%,35.68,36.55,WMF,0
HH02 - 3.1V,Drying,14,14.58%,37.42,37.79,WMF,0
HH02 - 3.1V,Drying,15,13.98%,40.38,40.78,WMF,0
HH02 - 3.1V,Drying,16,13.53%,44.78,43.22,WMF,0
HH02 - 3.1V,Drying,17,12.98%,44.98,43.33,WMF,0
HH02 - 3.1V,Drying,18,12.67%,47.7,45.95,WMF,0
HH02 - 3.1V,Drying,19,12.35%,50,47.44,WMF,0
HH02 - 3.1V,Drying,20,11.38%,70.5,70.78,WMF,0
HH02 - 3.1V,Drying,21,11.12%,69.25,67.5,WMF,0
HH02 - 3.1V,Drying,22,10.88%,72.25,70.28,WMF,0
HH02 - 3.1V,Drying,23,10.61%,83.5,82.19,WMF,0
HH02 - 3.1V,Drying,24,10.46%,85,82.85,WMF,0
HH02 - 3.1V,Drying,25,10.32%,86,83.66,WMF,0
HH02 - 3.1V,Drying,26,9.53%,128.75,128.24,WMF,0
HH02 - 3.1V,Drying,27,9.5%,121.5,120.3,WMF,0
HH02 - 3.1V,Drying,28,9.3%,143.25,146.77,WMF,0
HH02 - 3.1V,Drying,29,9.06%,163,167.01,WMF,0
HH02 - 3.1V,Drying,30,8.87%,183,187.5,WMF,0
HH02 - 3.1V,Drying,31,8.57%,205.75,210.81,WMF,0
HH02 - 3.1V,Drying,32,8.55%,226.25,230.4,WMF,0
HH02 - 3.1V,Drying,33,8.37%,260,266.94,WMF,0
HH02 - 6.1H,Drying,1,14.75%,8.63,8.78,WMF,0
HH02 - 6.1H,Drying,2,13.93%,9.28,9.37,WMF,0
HH02 - 6.1H,Drying,3,13.36%,9.68,9.91,WMF,0
HH02 - 6.1H,Drying,4,12.78%,10.08,9.98,WMF,0
HH02 - 6.1H,Drying,5,12.21%,9.93,9.65,WMF,0
HH02 - 6.1H,Drying,6,11.8%,9.98,9.5,WMF,0
HH02 - 6.1H,Drying,7,11.3%,10.6,10.08,WMF,0
HH02 - 6.1H,Drying,8,10.88%,11.53,11.15,WMF,0
HH02 - 6.1H,Drying,9,10.56%,11.05,10.73,WMF,0
HH02 - 6.1H,Drying,10,9.99%,11.43,11.05,WMF,0
HH02 - 6.1H,Drying,11,9.6%,12.43,12.09,WMF,0
HH02 - 6.1H,Drying,12,9.26%,12.9,12.82,WMF,0
HH02 - 6.1H,Drying,13,8.99%,14.95,15.32,WMF,0
HH02 - 6.1H,Drying,14,8.67%,15.98,16.14,WMF,0
HH02 - 6.1H,Drying,15,8.25%,16.88,17.05,WMF,0
HH02 - 6.1H,Drying,16,7.93%,17.08,16.48,WMF,0
HH02 - 6.1H,Drying,17,7.55%,17.63,16.98,WMF,0
HH02 - 6.1H,Drying,18,7.35%,18.3,17.63,WMF,0
HH02 - 6.1H,Drying,19,7.13%,20.28,19.24,WMF,0
HH02 - 6.1H,Drying,20,6.44%,26.18,26.28,WMF,0
HH02 - 6.1H,Drying,21,6.23%,28.65,27.92,WMF,0
HH02 - 6.1H,Drying,22,6.06%,31,30.16,WMF,0
HH02 - 6.1H,Drying,23,5.94%,31.38,30.88,WMF,0
HH02 - 6.1H,Drying,24,5.77%,33.7,32.85,WMF,0
HH02 - 6.1H,Drying,25,5.76%,32.38,31.49,WMF,0
HH02 - 6.1H,Drying,26,5.08%,40.9,40.74,WMF,0
HH02 - 6.1H,Drying,27,5.06%,40.03,39.63,WMF,0
HH02 - 6.1H,Drying,28,4.91%,47.03,48.18,WMF,0
HH02 - 6.1H,Drying,29,4.7%,51.5,52.77,WMF,0
HH02 - 6.1H,Drying,30,4.54%,55.25,56.61,WMF,0
HH02 - 6.1H,Drying,31,4.3%,62,63.52,WMF,0
HH02 - 6.1H,Drying,32,4.19%,67,68.23,WMF,0
HH02 - 6.1H,Drying,33,4.02%,77.25,79.31,WMF,0
HH02 - 6.2V,Drying,1,14.75%,65.25,66.45,WMF,0
HH02 - 6.2V,Drying,2,13.92%,96.75,97.73,WMF,0
HH02 - 6.2V,Drying,3,13.39%,87.75,89.91,WMF,0
HH02 - 6.2V,Drying,4,12.75%,112.25,111.14,WMF,0
HH02 - 6.2V,Drying,6,11.86%,142.25,135.48,WMF,0
HH02 - 6.2V,Drying,7,10.58%,242.75,230.75,WMF,0
HH02 - 6.2V,Drying,8,10.96%,260.25,251.69,WMF,0
HH02 - 6.2V,Drying,9,10.67%,264.25,256.55,WMF,0
HH02 - 6.2V,Drying,10,10.14%,264.25,255.56,WMF,0
HH02 - 6.2V,Drying,11,9.83%,270.25,262.89,WMF,0
HH02 - 6.2V,Drying,22,8.42%,807.5,785.51,WMF,0
HH02 - 6.2V,Drying,23,8.14%,1090,1072.83,WMF,0
HH02 - 6.2V,Drying,24,8%,1142.5,1113.55,WMF,0
